Starting linear evaluation...
Epoch [  1/300] | LR: 0.099997 | Train Loss: 3.5925 | Val Loss: 3.2139 | Val Acc: 28.21%
Epoch [  2/300] | LR: 0.099989 | Train Loss: 3.1920 | Val Loss: 3.2645 | Val Acc: 30.22%
Epoch [  3/300] | LR: 0.099975 | Train Loss: 3.1079 | Val Loss: 2.5730 | Val Acc: 32.64%
Epoch [  4/300] | LR: 0.099956 | Train Loss: 3.0734 | Val Loss: 3.3775 | Val Acc: 27.49%
Epoch [  5/300] | LR: 0.099931 | Train Loss: 3.0166 | Val Loss: 3.0152 | Val Acc: 28.76%
Epoch [  6/300] | LR: 0.099901 | Train Loss: 2.9697 | Val Loss: 5.3294 | Val Acc: 23.96%
Epoch [  7/300] | LR: 0.099866 | Train Loss: 3.1405 | Val Loss: 3.9547 | Val Acc: 25.59%
Epoch [  8/300] | LR: 0.099825 | Train Loss: 3.1764 | Val Loss: 3.3315 | Val Acc: 31.63%
Epoch [  9/300] | LR: 0.099778 | Train Loss: 3.1757 | Val Loss: 5.4529 | Val Acc: 23.98%
Epoch [ 10/300] | LR: 0.099726 | Train Loss: 3.4117 | Val Loss: 3.7739 | Val Acc: 28.31%
Epoch [ 11/300] | LR: 0.099669 | Train Loss: 2.9038 | Val Loss: 3.1677 | Val Acc: 29.77%
Epoch [ 12/300] | LR: 0.099606 | Train Loss: 3.2350 | Val Loss: 2.7819 | Val Acc: 32.50%
Epoch [ 13/300] | LR: 0.099537 | Train Loss: 2.9904 | Val Loss: 4.5181 | Val Acc: 26.47%
Epoch [ 14/300] | LR: 0.099464 | Train Loss: 3.5050 | Val Loss: 4.3182 | Val Acc: 29.19%
Epoch [ 15/300] | LR: 0.099384 | Train Loss: 3.1324 | Val Loss: 3.4418 | Val Acc: 30.97%
Epoch [ 16/300] | LR: 0.099300 | Train Loss: 3.1181 | Val Loss: 2.9182 | Val Acc: 29.94%
Epoch [ 17/300] | LR: 0.099210 | Train Loss: 2.9188 | Val Loss: 3.1756 | Val Acc: 26.78%
Epoch [ 18/300] | LR: 0.099114 | Train Loss: 3.0309 | Val Loss: 3.1639 | Val Acc: 28.78%
Epoch [ 19/300] | LR: 0.099014 | Train Loss: 3.1551 | Val Loss: 3.2397 | Val Acc: 29.41%
Epoch [ 20/300] | LR: 0.098907 | Train Loss: 3.4928 | Val Loss: 3.2270 | Val Acc: 30.86%
Epoch [ 21/300] | LR: 0.098796 | Train Loss: 3.1373 | Val Loss: 3.6404 | Val Acc: 27.67%
Epoch [ 22/300] | LR: 0.098679 | Train Loss: 3.1669 | Val Loss: 2.6906 | Val Acc: 31.30%
Epoch [ 23/300] | LR: 0.098557 | Train Loss: 3.0558 | Val Loss: 3.6138 | Val Acc: 28.24%
Epoch [ 24/300] | LR: 0.098429 | Train Loss: 2.9978 | Val Loss: 2.9596 | Val Acc: 29.26%
Epoch [ 25/300] | LR: 0.098296 | Train Loss: 3.0393 | Val Loss: 4.4430 | Val Acc: 28.88%
Epoch [ 26/300] | LR: 0.098158 | Train Loss: 3.0430 | Val Loss: 2.9586 | Val Acc: 29.77%
Epoch [ 27/300] | LR: 0.098015 | Train Loss: 3.1488 | Val Loss: 3.5667 | Val Acc: 27.50%
Epoch [ 28/300] | LR: 0.097866 | Train Loss: 3.0595 | Val Loss: 2.8640 | Val Acc: 34.18%
Epoch [ 29/300] | LR: 0.097712 | Train Loss: 2.9075 | Val Loss: 2.6827 | Val Acc: 31.08%
Epoch [ 30/300] | LR: 0.097553 | Train Loss: 3.0608 | Val Loss: 2.5779 | Val Acc: 32.53%
Epoch [ 31/300] | LR: 0.097388 | Train Loss: 2.9894 | Val Loss: 4.3296 | Val Acc: 26.82%
Epoch [ 32/300] | LR: 0.097219 | Train Loss: 3.1407 | Val Loss: 2.9490 | Val Acc: 31.15%
Epoch [ 33/300] | LR: 0.097044 | Train Loss: 2.9974 | Val Loss: 3.1459 | Val Acc: 27.64%
Epoch [ 34/300] | LR: 0.096864 | Train Loss: 2.7958 | Val Loss: 2.7870 | Val Acc: 33.44%
Epoch [ 35/300] | LR: 0.096679 | Train Loss: 3.2284 | Val Loss: 2.7811 | Val Acc: 27.71%
Epoch [ 36/300] | LR: 0.096489 | Train Loss: 2.9627 | Val Loss: 3.6173 | Val Acc: 26.38%
Epoch [ 37/300] | LR: 0.096294 | Train Loss: 3.0729 | Val Loss: 2.9687 | Val Acc: 29.03%
Epoch [ 38/300] | LR: 0.096093 | Train Loss: 2.9999 | Val Loss: 2.8884 | Val Acc: 33.01%
Epoch [ 39/300] | LR: 0.095888 | Train Loss: 3.1676 | Val Loss: 3.2609 | Val Acc: 30.18%
Epoch [ 40/300] | LR: 0.095677 | Train Loss: 2.9774 | Val Loss: 3.2024 | Val Acc: 29.23%
Epoch [ 41/300] | LR: 0.095462 | Train Loss: 2.9667 | Val Loss: 2.7994 | Val Acc: 29.52%
Epoch [ 42/300] | LR: 0.095241 | Train Loss: 3.1103 | Val Loss: 2.8520 | Val Acc: 31.51%
Epoch [ 43/300] | LR: 0.095016 | Train Loss: 2.7849 | Val Loss: 2.9857 | Val Acc: 31.39%
Epoch [ 44/300] | LR: 0.094786 | Train Loss: 3.0300 | Val Loss: 2.7375 | Val Acc: 29.66%
Epoch [ 45/300] | LR: 0.094550 | Train Loss: 3.0013 | Val Loss: 3.8516 | Val Acc: 24.62%
Epoch [ 46/300] | LR: 0.094310 | Train Loss: 3.1268 | Val Loss: 3.0911 | Val Acc: 29.41%
Epoch [ 47/300] | LR: 0.094065 | Train Loss: 3.0517 | Val Loss: 3.3871 | Val Acc: 27.68%
Epoch [ 48/300] | LR: 0.093815 | Train Loss: 2.8822 | Val Loss: 3.3473 | Val Acc: 28.44%
Epoch [ 49/300] | LR: 0.093561 | Train Loss: 3.0367 | Val Loss: 3.3227 | Val Acc: 27.96%
Epoch [ 50/300] | LR: 0.093301 | Train Loss: 2.9358 | Val Loss: 2.9328 | Val Acc: 31.84%
Epoch [ 51/300] | LR: 0.093037 | Train Loss: 2.8157 | Val Loss: 3.5146 | Val Acc: 22.93%
Epoch [ 52/300] | LR: 0.092768 | Train Loss: 2.8413 | Val Loss: 2.7099 | Val Acc: 32.52%
Epoch [ 53/300] | LR: 0.092495 | Train Loss: 2.6824 | Val Loss: 3.8522 | Val Acc: 31.56%
Epoch [ 54/300] | LR: 0.092216 | Train Loss: 2.9015 | Val Loss: 2.9249 | Val Acc: 30.38%
Epoch [ 55/300] | LR: 0.091934 | Train Loss: 2.9231 | Val Loss: 3.9867 | Val Acc: 29.27%
Epoch [ 56/300] | LR: 0.091646 | Train Loss: 2.8784 | Val Loss: 2.9477 | Val Acc: 29.17%
Epoch [ 57/300] | LR: 0.091354 | Train Loss: 2.8054 | Val Loss: 3.1099 | Val Acc: 29.45%
Epoch [ 58/300] | LR: 0.091057 | Train Loss: 2.8459 | Val Loss: 2.9300 | Val Acc: 30.86%
Epoch [ 59/300] | LR: 0.090756 | Train Loss: 2.7950 | Val Loss: 2.6744 | Val Acc: 29.03%
Epoch [ 60/300] | LR: 0.090451 | Train Loss: 2.8882 | Val Loss: 3.1949 | Val Acc: 26.34%
Epoch [ 61/300] | LR: 0.090141 | Train Loss: 2.7567 | Val Loss: 3.2699 | Val Acc: 29.47%
Epoch [ 62/300] | LR: 0.089826 | Train Loss: 2.7875 | Val Loss: 3.6151 | Val Acc: 27.89%
Epoch [ 63/300] | LR: 0.089508 | Train Loss: 3.0265 | Val Loss: 3.2981 | Val Acc: 24.05%
Epoch [ 64/300] | LR: 0.089185 | Train Loss: 2.7992 | Val Loss: 3.2004 | Val Acc: 30.05%
Epoch [ 65/300] | LR: 0.088857 | Train Loss: 3.0113 | Val Loss: 2.8989 | Val Acc: 27.22%
Epoch [ 66/300] | LR: 0.088526 | Train Loss: 2.7827 | Val Loss: 3.0831 | Val Acc: 23.61%
Epoch [ 67/300] | LR: 0.088190 | Train Loss: 2.6435 | Val Loss: 2.8083 | Val Acc: 31.58%
Epoch [ 68/300] | LR: 0.087850 | Train Loss: 2.6986 | Val Loss: 3.1842 | Val Acc: 25.28%
Epoch [ 69/300] | LR: 0.087506 | Train Loss: 2.6889 | Val Loss: 2.5710 | Val Acc: 28.20%
Epoch [ 70/300] | LR: 0.087157 | Train Loss: 2.9130 | Val Loss: 3.1200 | Val Acc: 27.79%
