Starting linear evaluation...
Epoch [  1/200] | LR: 0.299981 | Train Loss: 22.8083 | Val Loss: 32.1481 | Val Acc: 22.76%
Epoch [  2/200] | LR: 0.299926 | Train Loss: 19.6653 | Val Loss: 13.0425 | Val Acc: 29.14%
Epoch [  3/200] | LR: 0.299833 | Train Loss: 17.8093 | Val Loss: 14.1832 | Val Acc: 26.62%
Epoch [  4/200] | LR: 0.299704 | Train Loss: 18.1057 | Val Loss: 13.8223 | Val Acc: 26.34%
Epoch [  5/200] | LR: 0.299538 | Train Loss: 17.6183 | Val Loss: 20.1441 | Val Acc: 25.05%
Epoch [  6/200] | LR: 0.299334 | Train Loss: 17.9493 | Val Loss: 23.3237 | Val Acc: 27.33%
Epoch [  7/200] | LR: 0.299094 | Train Loss: 18.5491 | Val Loss: 24.8213 | Val Acc: 24.84%
Epoch [  8/200] | LR: 0.298817 | Train Loss: 18.8196 | Val Loss: 21.5583 | Val Acc: 25.37%
Epoch [  9/200] | LR: 0.298504 | Train Loss: 19.1730 | Val Loss: 26.6056 | Val Acc: 23.56%
Epoch [ 10/200] | LR: 0.298153 | Train Loss: 18.5014 | Val Loss: 18.4206 | Val Acc: 23.93%
Epoch [ 11/200] | LR: 0.297766 | Train Loss: 18.0301 | Val Loss: 18.8789 | Val Acc: 24.06%
Epoch [ 12/200] | LR: 0.297343 | Train Loss: 18.5508 | Val Loss: 15.4681 | Val Acc: 29.56%
Epoch [ 13/200] | LR: 0.296883 | Train Loss: 18.7937 | Val Loss: 20.5427 | Val Acc: 23.69%
Epoch [ 14/200] | LR: 0.296388 | Train Loss: 17.5426 | Val Loss: 15.8024 | Val Acc: 26.79%
Epoch [ 15/200] | LR: 0.295855 | Train Loss: 16.9867 | Val Loss: 14.8995 | Val Acc: 25.34%
Epoch [ 16/200] | LR: 0.295287 | Train Loss: 17.4939 | Val Loss: 22.4111 | Val Acc: 23.28%
Epoch [ 17/200] | LR: 0.294684 | Train Loss: 17.7887 | Val Loss: 15.1054 | Val Acc: 23.56%
Epoch [ 18/200] | LR: 0.294044 | Train Loss: 18.4624 | Val Loss: 18.4202 | Val Acc: 29.83%
Epoch [ 19/200] | LR: 0.293369 | Train Loss: 18.4735 | Val Loss: 14.7821 | Val Acc: 26.55%
Epoch [ 20/200] | LR: 0.292658 | Train Loss: 17.6971 | Val Loss: 16.2464 | Val Acc: 28.39%
Epoch [ 21/200] | LR: 0.291913 | Train Loss: 17.2566 | Val Loss: 19.0849 | Val Acc: 28.95%
Epoch [ 22/200] | LR: 0.291132 | Train Loss: 17.8158 | Val Loss: 24.7667 | Val Acc: 23.09%
Epoch [ 23/200] | LR: 0.290317 | Train Loss: 18.5602 | Val Loss: 21.2732 | Val Acc: 25.35%
Epoch [ 24/200] | LR: 0.289466 | Train Loss: 18.3917 | Val Loss: 17.6182 | Val Acc: 24.20%
Epoch [ 25/200] | LR: 0.288582 | Train Loss: 17.8358 | Val Loss: 25.8974 | Val Acc: 23.92%
Epoch [ 26/200] | LR: 0.287663 | Train Loss: 17.2517 | Val Loss: 22.6289 | Val Acc: 24.68%
Epoch [ 27/200] | LR: 0.286710 | Train Loss: 17.7673 | Val Loss: 16.5059 | Val Acc: 28.84%
Epoch [ 28/200] | LR: 0.285724 | Train Loss: 17.6076 | Val Loss: 19.3507 | Val Acc: 25.97%
Epoch [ 29/200] | LR: 0.284704 | Train Loss: 18.8678 | Val Loss: 20.4516 | Val Acc: 20.59%
Epoch [ 30/200] | LR: 0.283651 | Train Loss: 17.0766 | Val Loss: 17.1668 | Val Acc: 24.47%
Epoch [ 31/200] | LR: 0.282565 | Train Loss: 17.7860 | Val Loss: 16.4658 | Val Acc: 26.74%
Epoch [ 32/200] | LR: 0.281446 | Train Loss: 16.2853 | Val Loss: 23.4858 | Val Acc: 25.22%
Epoch [ 33/200] | LR: 0.280295 | Train Loss: 18.3946 | Val Loss: 15.0731 | Val Acc: 28.43%
Epoch [ 34/200] | LR: 0.279111 | Train Loss: 17.1562 | Val Loss: 14.2884 | Val Acc: 28.45%
Epoch [ 35/200] | LR: 0.277896 | Train Loss: 16.4217 | Val Loss: 21.6667 | Val Acc: 22.32%
Epoch [ 36/200] | LR: 0.276649 | Train Loss: 16.1282 | Val Loss: 17.4387 | Val Acc: 25.69%
Epoch [ 37/200] | LR: 0.275371 | Train Loss: 16.5114 | Val Loss: 14.8797 | Val Acc: 24.58%
Epoch [ 38/200] | LR: 0.274062 | Train Loss: 17.3642 | Val Loss: 15.7438 | Val Acc: 29.23%
Epoch [ 39/200] | LR: 0.272722 | Train Loss: 15.9995 | Val Loss: 23.5990 | Val Acc: 23.65%
Epoch [ 40/200] | LR: 0.271353 | Train Loss: 17.1158 | Val Loss: 25.4844 | Val Acc: 24.18%
Epoch [ 41/200] | LR: 0.269953 | Train Loss: 16.8913 | Val Loss: 15.0509 | Val Acc: 30.57%
Epoch [ 42/200] | LR: 0.268523 | Train Loss: 15.8099 | Val Loss: 15.1505 | Val Acc: 27.13%
Epoch [ 43/200] | LR: 0.267065 | Train Loss: 15.5302 | Val Loss: 12.0792 | Val Acc: 27.14%
Epoch [ 44/200] | LR: 0.265577 | Train Loss: 15.6572 | Val Loss: 12.9030 | Val Acc: 24.71%
Epoch [ 45/200] | LR: 0.264061 | Train Loss: 15.1782 | Val Loss: 15.2166 | Val Acc: 25.80%
Epoch [ 46/200] | LR: 0.262517 | Train Loss: 15.6776 | Val Loss: 11.7518 | Val Acc: 29.66%
Epoch [ 47/200] | LR: 0.260945 | Train Loss: 15.6444 | Val Loss: 22.9021 | Val Acc: 24.94%
Epoch [ 48/200] | LR: 0.259345 | Train Loss: 16.2636 | Val Loss: 16.0389 | Val Acc: 25.39%
Epoch [ 49/200] | LR: 0.257719 | Train Loss: 15.2918 | Val Loss: 12.6851 | Val Acc: 27.63%
Epoch [ 50/200] | LR: 0.256066 | Train Loss: 14.5120 | Val Loss: 12.4162 | Val Acc: 27.23%
Epoch [ 51/200] | LR: 0.254387 | Train Loss: 15.4441 | Val Loss: 16.5218 | Val Acc: 25.23%
Epoch [ 52/200] | LR: 0.252682 | Train Loss: 15.5970 | Val Loss: 22.6044 | Val Acc: 24.87%
Epoch [ 53/200] | LR: 0.250952 | Train Loss: 16.7042 | Val Loss: 13.7402 | Val Acc: 28.87%
Epoch [ 54/200] | LR: 0.249197 | Train Loss: 14.7340 | Val Loss: 14.8273 | Val Acc: 24.57%
Epoch [ 55/200] | LR: 0.247417 | Train Loss: 14.8036 | Val Loss: 11.3753 | Val Acc: 29.77%
Epoch [ 56/200] | LR: 0.245614 | Train Loss: 13.8903 | Val Loss: 16.1907 | Val Acc: 26.57%
Epoch [ 57/200] | LR: 0.243786 | Train Loss: 15.4884 | Val Loss: 18.6990 | Val Acc: 25.59%
Epoch [ 58/200] | LR: 0.241936 | Train Loss: 14.4310 | Val Loss: 16.5999 | Val Acc: 27.25%
Epoch [ 59/200] | LR: 0.240063 | Train Loss: 14.9053 | Val Loss: 18.2834 | Val Acc: 23.73%
Epoch [ 60/200] | LR: 0.238168 | Train Loss: 14.1019 | Val Loss: 11.7066 | Val Acc: 24.25%
Epoch [ 61/200] | LR: 0.236251 | Train Loss: 14.0881 | Val Loss: 16.1904 | Val Acc: 26.65%
Epoch [ 62/200] | LR: 0.234313 | Train Loss: 13.9597 | Val Loss: 10.5159 | Val Acc: 26.37%
Epoch [ 63/200] | LR: 0.232353 | Train Loss: 15.0302 | Val Loss: 15.4253 | Val Acc: 23.06%
Epoch [ 64/200] | LR: 0.230374 | Train Loss: 13.4874 | Val Loss: 15.3710 | Val Acc: 27.31%
Epoch [ 65/200] | LR: 0.228375 | Train Loss: 14.0222 | Val Loss: 18.3253 | Val Acc: 30.43%
Epoch [ 66/200] | LR: 0.226356 | Train Loss: 13.1624 | Val Loss: 13.8244 | Val Acc: 26.01%
Epoch [ 67/200] | LR: 0.224319 | Train Loss: 13.8112 | Val Loss: 14.5392 | Val Acc: 23.85%
Epoch [ 68/200] | LR: 0.222263 | Train Loss: 13.7055 | Val Loss: 11.4735 | Val Acc: 27.64%
Epoch [ 69/200] | LR: 0.220189 | Train Loss: 13.0943 | Val Loss: 9.3409 | Val Acc: 27.67%
Epoch [ 70/200] | LR: 0.218099 | Train Loss: 12.4989 | Val Loss: 14.5616 | Val Acc: 26.62%
Epoch [ 71/200] | LR: 0.215991 | Train Loss: 13.4524 | Val Loss: 16.2977 | Val Acc: 25.42%
Epoch [ 72/200] | LR: 0.213867 | Train Loss: 13.5372 | Val Loss: 12.6737 | Val Acc: 26.43%
Epoch [ 73/200] | LR: 0.211727 | Train Loss: 14.2259 | Val Loss: 10.8754 | Val Acc: 24.10%
Epoch [ 74/200] | LR: 0.209572 | Train Loss: 12.2899 | Val Loss: 12.8901 | Val Acc: 29.26%
Epoch [ 75/200] | LR: 0.207403 | Train Loss: 11.8088 | Val Loss: 12.0516 | Val Acc: 26.63%
Epoch [ 76/200] | LR: 0.205219 | Train Loss: 13.3572 | Val Loss: 15.4992 | Val Acc: 30.09%
Epoch [ 77/200] | LR: 0.203021 | Train Loss: 11.9949 | Val Loss: 9.7936 | Val Acc: 24.40%
Epoch [ 78/200] | LR: 0.200811 | Train Loss: 11.3140 | Val Loss: 12.9636 | Val Acc: 29.27%
Epoch [ 79/200] | LR: 0.198588 | Train Loss: 11.3932 | Val Loss: 12.9716 | Val Acc: 27.52%
Epoch [ 80/200] | LR: 0.196353 | Train Loss: 11.5471 | Val Loss: 12.1875 | Val Acc: 24.89%
Epoch [ 81/200] | LR: 0.194106 | Train Loss: 11.6128 | Val Loss: 12.3485 | Val Acc: 26.17%
Epoch [ 82/200] | LR: 0.191849 | Train Loss: 11.6532 | Val Loss: 12.4967 | Val Acc: 27.55%
Epoch [ 83/200] | LR: 0.189581 | Train Loss: 10.8886 | Val Loss: 9.0715 | Val Acc: 24.27%
Epoch [ 84/200] | LR: 0.187303 | Train Loss: 10.5223 | Val Loss: 11.5830 | Val Acc: 25.46%
Epoch [ 85/200] | LR: 0.185017 | Train Loss: 11.6231 | Val Loss: 11.6519 | Val Acc: 25.01%
Epoch [ 86/200] | LR: 0.182721 | Train Loss: 11.2924 | Val Loss: 8.8080 | Val Acc: 32.44%
Epoch [ 87/200] | LR: 0.180418 | Train Loss: 10.4769 | Val Loss: 8.3009 | Val Acc: 31.68%
Epoch [ 88/200] | LR: 0.178107 | Train Loss: 11.0802 | Val Loss: 13.2750 | Val Acc: 26.05%
Epoch [ 89/200] | LR: 0.175789 | Train Loss: 10.1810 | Val Loss: 14.2750 | Val Acc: 25.06%
Epoch [ 90/200] | LR: 0.173465 | Train Loss: 10.2429 | Val Loss: 10.2405 | Val Acc: 25.03%
Epoch [ 91/200] | LR: 0.171135 | Train Loss: 9.6806 | Val Loss: 8.6527 | Val Acc: 24.25%
Epoch [ 92/200] | LR: 0.168800 | Train Loss: 10.2029 | Val Loss: 10.1561 | Val Acc: 27.95%
Epoch [ 93/200] | LR: 0.166460 | Train Loss: 9.3487 | Val Loss: 8.4500 | Val Acc: 24.79%
Epoch [ 94/200] | LR: 0.164116 | Train Loss: 9.6780 | Val Loss: 9.5281 | Val Acc: 27.25%
Epoch [ 95/200] | LR: 0.161769 | Train Loss: 10.0194 | Val Loss: 10.2628 | Val Acc: 29.34%
Epoch [ 96/200] | LR: 0.159419 | Train Loss: 8.9562 | Val Loss: 13.3702 | Val Acc: 24.20%
Epoch [ 97/200] | LR: 0.157066 | Train Loss: 8.9337 | Val Loss: 11.1736 | Val Acc: 25.14%
Epoch [ 98/200] | LR: 0.154712 | Train Loss: 9.5129 | Val Loss: 9.5302 | Val Acc: 26.26%
